dateOfTrade,tradeID,product,buyingParty,sellingParty,notionalAmount,notionalCurrency,quantity,maturityDate,underlyingPrice,underlyingCurrency,strikePrice
01/03/2020 06:20,OMGQUWGF14353790,Stocks,PSWL40,DPPS25,420322,USD,1419,26/05/2021,296.16,USD,444.24
01/03/2020 09:31,EXBXMZIU42503358,Stocks,PSWL40,DPPS25,783474.34,USD,1142,20/11/2022,685.86,USD,2153.6
01/03/2020 00:40,FEAGBDDH27388700,Stocks,PSWL40,DPPS25,677967.74,USD,746,16/09/2022,907.84,USD,1842.92
01/03/2020 23:17,QIKOMCSW39860471,Stocks,PSWL40,DPPS25,828343.98,USD,1879,29/07/2022,440.71,USD,295.28
01/03/2020 06:00,XWRDSISF74960910,Stocks,PSWL40,DPPS25,720438.64,USD,1348,17/07/2022,534.19,USD,982.91
01/03/2020 14:11,SOXODACD52294477,Stocks,PSWL40,DPPS25,91321.2,USD,125,20/06/2020,729.36,USD,1312.85
01/03/2020 03:28,VOUYEQFR31745742,Stocks,PSWL40,DPPS25,547096.62,USD,2311,01/09/2021,236.66,USD,1119.4
01/03/2020 02:52,IJAIAGOA67466454,Stocks,PSWL40,DPPS25,356331.52,USD,538,12/07/2021,661.56,USD,2791.78
01/03/2020 04:38,DCCVDXAR99096062,Stocks,PSWL40,DPPS25,384231.6,USD,465,07/05/2021,824.89,USD,445.44
01/03/2020 09:38,AVDRJVKT38427093,Stocks,PSWL40,DPPS25,370939.88,USD,2003,15/07/2021,185.17,USD,857.34
01/03/2020 07:08,XNGPHUND57413870,Stocks,PSWL40,DPPS25,530208.3,USD,542,26/01/2022,976.83,USD,2569.06
01/03/2020 15:57,NBNXYUEF72546978,Stocks,PSWL40,DPPS25,102302.71,USD,205,13/06/2020,497.25,USD,1685.68
01/03/2020 07:01,BJIEDLAS22200520,Stocks,PSWL40,DPPS25,497843.46,USD,640,04/09/2021,777.41,USD,2650.97
01/03/2020 16:27,WKUZRMQN64755749,Stocks,PSWL40,DPPS25,745587.36,USD,1886,04/06/2022,395.19,USD,1339.69
01/03/2020 23:18,UAIKIDLX99431849,Stocks,PSWL40,DPPS25,539392.28,USD,803,19/12/2021,671.56,USD,1383.41
01/03/2020 14:57,YFCTKQCZ73440886,Stocks,PSWL40,DPPS25,413789.35,USD,4647,29/04/2021,89.03,USD,324.96
01/03/2020 13:09,SJYQQDDJ89238331,Stocks,PSWL40,DPPS25,670596.5,USD,2582,27/04/2022,259.63,USD,584.17
01/03/2020 23:57,XUPJXPFU65042681,Stocks,PSWL40,DPPS25,348051.2,USD,745,02/05/2021,467.06,USD,1961.65
01/03/2020 22:59,QFBLPZOQ58656851,Stocks,PSWL40,DPPS25,587848.04,USD,849,20/02/2022,691.69,USD,1687.72
01/03/2020 11:03,RPVZUEMN30521675,Stocks,PSWL40,DPPS25,112469.32,USD,196,12/07/2020,571.71,USD,2366.88
01/03/2020 05:30,IOLIJUSX12126043,Stocks,PSWL40,DPPS25,241258.65,USD,248,18/11/2020,971.59,USD,3196.53
01/03/2020 10:27,DKGBARIP54024762,Stocks,PSWL40,DPPS25,191838.08,USD,1229,14/10/2020,156.01,USD,586.6
01/03/2020 12:09,MUWSWFZK61493499,Stocks,PSWL40,DPPS25,111890.31,USD,184,11/07/2020,606.25,USD,2588.69
01/03/2020 21:09,DTIPKYKA29449486,Stocks,PSWL40,DPPS25,595647.84,USD,1699,27/12/2021,350.49,USD,1563.19
01/03/2020 14:28,SVBUGBQU48568993,Stocks,PSWL40,DPPS25,392496.84,USD,1150,23/08/2021,341.03,USD,320.57
01/03/2020 23:23,DKZYTDSJ32571700,Stocks,PSWL40,DPPS25,150879.68,USD,576,17/09/2020,261.86,USD,631.08
01/03/2020 16:21,ZJYVIUYP32078207,Stocks,PSWL40,DPPS25,79657.98,USD,238,02/06/2020,333.96,USD,70.13
01/03/2020 14:51,ZQVYCBNW35985234,Stocks,PSWL40,DPPS25,243158.4,USD,510,22/12/2020,476.25,USD,1095.38
01/03/2020 00:33,CEQMNXTX45536886,Stocks,PSWL40,DPPS25,746614.68,USD,800,31/03/2022,932.33,USD,2629.17
01/03/2020 21:04,HJXDYTJX47485148,Stocks,PSWL40,DPPS25,162471.04,USD,2338,08/10/2020,69.49,USD,170.95
01/03/2020 13:04,EHXHDZRQ22773620,Stocks,PSWL40,DPPS25,650975.6,USD,4986,13/03/2022,130.54,USD,104.43
01/03/2020 10:33,BZMAJNRG73546367,Stocks,PSWL40,DPPS25,253954.88,USD,427,07/12/2020,593.52,USD,724.09
01/03/2020 19:57,WUBWGBWJ47183663,Stocks,PSWL40,DPPS25,881776,USD,897,12/10/2022,982.83,USD,2948.49
01/03/2020 16:18,YCDNEJRY62201209,Stocks,PSWL40,DPPS25,354296.08,USD,1360,12/03/2021,260.47,USD,453.22
01/03/2020 22:00,EUJPHMBB39306448,Stocks,PSWL40,DPPS25,179935.92,USD,443,01/09/2020,405.38,USD,936.43
01/03/2020 23:08,VFCJCOMX50552904,Stocks,PSWL40,DPPS25,393283.95,USD,403,31/03/2021,975.36,USD,3950.21
01/03/2020 16:31,FTYQGOTW13901404,Stocks,PSWL40,DPPS25,795840.9,USD,2069,25/07/2022,384.57,USD,711.45
01/03/2020 07:00,AVRSSDRF23184250,Stocks,PSWL40,DPPS25,36941.08,USD,239,08/04/2020,154.45,USD,537.49
01/03/2020 21:29,YLXWDZXH32673076,Stocks,PSWL40,DPPS25,902686.5,USD,11194,23/09/2022,80.64,USD,68.54
01/03/2020 18:48,XEIKDKPJ38294031,Stocks,PSWL40,DPPS25,194906.95,USD,845,01/10/2020,230.42,USD,817.99
01/03/2020 21:30,HBTBSWKP26395308,Stocks,PSWL40,DPPS25,576246.48,USD,1387,02/05/2022,415.24,USD,780.65
01/03/2020 19:34,QUBIFEAE68137823,Stocks,PSWL40,DPPS25,218333,USD,2172,25/11/2020,100.48,USD,492.35
01/03/2020 00:00,SAZMURQT81040725,Stocks,PSWL40,DPPS25,465428,USD,658,27/08/2021,706.93,USD,2007.68
01/03/2020 19:18,WCKRPHSC91539697,Stocks,PSWL40,DPPS25,698612.55,USD,1885,20/06/2022,370.5,USD,1315.28
01/03/2020 23:30,UAGLCLXK36176516,Stocks,PSWL40,DPPS25,29598.92,USD,37,01/04/2020,788.07,USD,504.36
01/03/2020 16:29,ZMFAJRSL26308874,Stocks,PSWL40,DPPS25,355453.15,USD,1071,09/04/2021,331.84,USD,1012.11
01/03/2020 19:53,EVGXUDBR71288073,Stocks,PSWL40,DPPS25,34362.09,USD,41,17/04/2020,832.07,USD,2654.3
01/03/2020 16:41,JOYXLQBX13428250,Stocks,PSWL40,DPPS25,70374.74,USD,1170,06/06/2020,60.13,USD,272.99
01/03/2020 07:26,JXSUYHJA31691863,Stocks,PSWL40,DPPS25,199995.68,USD,1439,03/11/2020,138.89,USD,337.5
01/03/2020 22:24,LUOFKXZT78124305,Stocks,PSWL40,DPPS25,687452.51,USD,1104,02/06/2022,622.4,USD,1786.29
01/03/2020 08:09,NPRQOPFR21557691,Stocks,PSWL40,DPPS25,600262.94,USD,3288,30/10/2021,182.54,USD,719.21
01/03/2020 19:32,EGKNIBVO13280360,Stocks,PSWL40,DPPS25,164896.61,USD,4672,30/09/2020,35.29,USD,154.92
01/03/2020 19:50,VNBOMJBO37444342,Stocks,PSWL40,DPPS25,702954,USD,783,21/02/2022,897.32,USD,2099.73
01/03/2020 09:33,HPHQEBZF51174370,Stocks,PSWL40,DPPS25,227373.23,USD,356,10/12/2020,637.8,USD,2238.68
01/03/2020 10:51,KSXQGEKH83233699,Stocks,PSWL40,DPPS25,521822.88,USD,8362,24/10/2021,62.4,USD,147.26
01/03/2020 00:25,VFDGSOEL20921021,Stocks,PSWL40,DPPS25,621110.96,USD,710,30/12/2021,874.12,USD,769.23
01/03/2020 23:33,VNHIPDLV51905404,Stocks,PSWL40,DPPS25,124165.56,USD,207,11/07/2020,599.47,USD,1276.87
01/03/2020 00:02,UDFWYOXF72145251,Stocks,PSWL40,DPPS25,302674.4,USD,314,19/01/2021,962.39,USD,192.48
01/03/2020 11:12,XRSYYIBL63111528,Stocks,PSWL40,DPPS25,727053.2,USD,4039184,25/03/2022,1.18,USD,1.63
01/03/2020 07:26,LCTUTXPE23835695,Stocks,PSWL40,DPPS25,494630.4,USD,932,12/01/2022,530.55,USD,2100.98
01/03/2020 20:49,LCCFCSNQ68779920,Stocks,PSWL40,DPPS25,388456.64,USD,4262,05/09/2021,91.13,USD,329.89
01/03/2020 06:46,AUEGPWYO99703563,Stocks,PSWL40,DPPS25,581094.4,USD,1452,13/11/2021,400.12,USD,240.07
01/03/2020 22:25,IMHQUEHK34192724,Stocks,PSWL40,DPPS25,246369.08,USD,3027,27/12/2020,81.37,USD,297.81
01/03/2020 08:53,CPDDBYEL74043143,Stocks,PSWL40,DPPS25,376615.83,USD,1254,31/03/2021,300.15,USD,621.31
01/03/2020 03:09,HVJFMRYP75256930,Stocks,PSWL40,DPPS25,733504.29,USD,986,27/04/2022,743.44,USD,1330.76
01/03/2020 16:13,KJVLZXCS31548421,Stocks,PSWL40,DPPS25,311401.24,USD,1045,20/01/2021,297.86,USD,1477.39
01/03/2020 23:21,KWSOUQKY46516235,Stocks,PSWL40,DPPS25,162174.32,USD,273,11/10/2020,593,USD,1672.26
01/03/2020 14:53,TKNYTZWE69936798,Stocks,PSWL40,DPPS25,724983.1,USD,4078,04/09/2022,177.76,USD,542.17
01/03/2020 16:02,TCJTMHZW10264067,Stocks,PSWL40,DPPS25,109874.84,USD,145,18/07/2020,756.83,USD,688.72
01/03/2020 06:54,OJVYHZCG39872117,Stocks,PSWL40,DPPS25,649637.44,USD,2032,16/12/2021,319.6,USD,556.1
01/03/2020 17:36,LRRDPWXJ77728635,Stocks,PSWL40,DPPS25,863222.08,USD,1498,08/11/2022,576.11,USD,2442.71
01/03/2020 15:34,YQEPAZUT24528012,Stocks,PSWL40,DPPS25,645625.2,USD,727,26/01/2022,887.72,USD,1012
01/03/2020 06:47,PFYPIXWE95440805,Stocks,PSWL40,DPPS25,162100.41,USD,187,03/10/2020,864.67,USD,2619.95
01/03/2020 03:48,WZEZAGGS13308283,Stocks,PSWL40,DPPS25,351868.05,USD,1126,09/05/2021,312.36,USD,253.01
01/03/2020 15:09,DCQBXMJY16699225,Stocks,PSWL40,DPPS25,348699.9,USD,550,05/03/2021,633.1,USD,1329.51
01/03/2020 11:24,TSEFJGVV25518783,Stocks,PSWL40,DPPS25,590615.6,USD,2684,11/06/2022,219.99,USD,747.97
01/03/2020 11:40,EDGGVSAM21555435,Stocks,PSWL40,DPPS25,401822.52,USD,1519,25/08/2021,264.48,USD,1298.6
01/03/2020 09:12,MYBIEPHA80096905,Stocks,PSWL40,DPPS25,169715.83,USD,262,23/10/2020,647.6,USD,1755
01/03/2020 05:51,DEWVKWWU42402057,Stocks,PSWL40,DPPS25,262000.29,USD,301,20/12/2020,869.21,USD,2772.78
01/03/2020 08:45,VOVTEDAF64438147,Stocks,PSWL40,DPPS25,326253.79,USD,473,27/03/2021,689.27,USD,3094.82
01/03/2020 07:41,DPVQFGVQ93412956,Stocks,PSWL40,DPPS25,665940.28,USD,1654,13/08/2022,402.42,USD,88.53
01/03/2020 18:26,HKQEYTSW86658334,Stocks,PSWL40,DPPS25,241181.4,USD,346,28/01/2021,696.22,USD,2840.58
01/03/2020 05:36,HTDRTBSL14515301,Stocks,PSWL40,DPPS25,569081.92,USD,3541,13/04/2022,160.69,USD,83.56
01/03/2020 15:07,IZNYFJUK31695526,Stocks,PSWL40,DPPS25,735668.8,USD,774,20/04/2022,949.32,USD,436.69
01/03/2020 16:08,JSKVMKXS66935838,Stocks,PSWL40,DPPS25,683235.66,USD,2161,22/01/2022,316.09,USD,170.69
01/03/2020 02:39,MLPYVTTP88043921,Stocks,PSWL40,DPPS25,657634.2,USD,729,20/01/2022,901.32,USD,270.4
01/03/2020 12:24,VLUQIQQI81729557,Stocks,PSWL40,DPPS25,310108.7,USD,8358,25/02/2021,37.1,USD,100.17
01/03/2020 03:39,FHAFMOEL71836068,Stocks,PSWL40,DPPS25,668530.52,USD,795,28/03/2022,840.91,USD,2791.82
01/03/2020 19:39,QCPHQXLQ43046848,Stocks,PSWL40,DPPS25,738852.18,USD,1230,13/08/2022,600.62,USD,2624.71
01/03/2020 14:21,XEDPETQL81818749,Stocks,PSWL40,DPPS25,590641.76,USD,2369,20/10/2021,249.25,USD,658.02
