dateOfTrade,tradeID,product,buyingParty,sellingParty,notionalAmount,notionalCurrency,quantity,maturityDate,underlyingPrice,underlyingCurrency,strikePrice
01/03/2020 15:17,LYJQFFWD12412944,Stocks,DPPS25,PSWL40,59205.84,USD,147,28/04/2022,402.52,USD,869.44
01/03/2020 11:21,CTPVYZPD66577004,Stocks,DPPS25,PSWL40,20011.76,USD,107,17/09/2020,186.12,USD,78.17
01/03/2020 11:02,JQDFBIXS28264425,Stocks,DPPS25,PSWL40,19990.5,USD,62,26/11/2020,320.3,USD,80.08
01/03/2020 08:13,EFYLKWJM80148432,Stocks,DPPS25,PSWL40,39761.26,USD,96,06/08/2021,411.58,USD,139.94
01/03/2020 02:03,PTVMVGSW20726049,Stocks,DPPS25,PSWL40,39967.84,USD,122,03/06/2021,325.5,USD,436.17
01/03/2020 09:03,PDHHIXEG74414257,Stocks,DPPS25,PSWL40,32426.62,USD,34,12/02/2021,943.67,USD,1906.21
01/03/2020 01:01,QINALLFI45105623,Stocks,DPPS25,PSWL40,9412.42,USD,12,18/06/2020,738.95,USD,2793.23
01/03/2020 07:53,JZHHDLIN47245248,Stocks,DPPS25,PSWL40,11068.58,USD,23,04/08/2020,480.23,USD,2098.61
01/03/2020 06:14,CVKRPUPT83706036,Stocks,DPPS25,PSWL40,72344.68,USD,14440,30/05/2022,5.01,USD,24.35
01/03/2020 14:53,DFWMZBHT38233893,Stocks,DPPS25,PSWL40,85179.04,USD,96,13/10/2022,881.48,USD,1904
01/03/2020 07:16,VMLJKNJG62018291,Stocks,DPPS25,PSWL40,61772.75,USD,100,01/05/2022,612.2,USD,1989.65
01/03/2020 06:06,AQILQWXU92307573,Stocks,DPPS25,PSWL40,38437,USD,110,30/03/2021,348.49,USD,1526.39
01/03/2020 06:14,CZBMMRJK55004864,Stocks,DPPS25,PSWL40,90094.9,USD,1056,15/10/2022,85.29,USD,140.73
01/03/2020 15:00,FGQFLFZS30202885,Stocks,DPPS25,PSWL40,37896.24,USD,38,15/05/2021,987.58,USD,1461.62
01/03/2020 03:52,EZUUPOHV27779143,Stocks,DPPS25,PSWL40,7013.82,USD,17,18/05/2020,412.11,USD,1870.98
01/03/2020 20:16,OQQQDWGN10892931,Stocks,DPPS25,PSWL40,49419.2,USD,111,16/01/2022,441.61,USD,375.37
01/03/2020 07:25,BSUHTKTO35699540,Stocks,DPPS25,PSWL40,57084.16,USD,95,22/03/2022,599.29,USD,203.76
01/03/2020 22:01,GDXQOCBV71303595,Stocks,DPPS25,PSWL40,40390,USD,62,17/04/2021,645.02,USD,322.51
01/03/2020 02:31,VIPZXPWA51172292,Stocks,DPPS25,PSWL40,8675.7,USD,10,13/06/2020,851.72,USD,979.48
01/03/2020 23:53,HFRFHZFW95461425,Stocks,DPPS25,PSWL40,51298.64,USD,121,10/08/2021,421.39,USD,2102.74
01/03/2020 18:31,ATBZCHVY58294855,Stocks,DPPS25,PSWL40,58559.64,USD,75,30/03/2022,776.02,USD,1885.73
01/03/2020 23:08,BYBBXKQL18584942,Stocks,DPPS25,PSWL40,41307.48,USD,64,17/06/2021,636.31,USD,2074.37
01/03/2020 21:22,PFOOQFZC91872162,Stocks,DPPS25,PSWL40,14737.45,USD,27,25/09/2020,541.43,USD,2463.51
01/03/2020 19:54,OSFLMBFJ81562743,Stocks,DPPS25,PSWL40,30962.24,USD,60,01/04/2021,510.08,USD,1305.8
01/03/2020 18:56,REQGJKAX94300943,Stocks,DPPS25,PSWL40,768.96,USD,1,09/03/2020,758.99,USD,2109.99
01/03/2020 16:59,OYXKGPSO97755998,Stocks,DPPS25,PSWL40,50874.88,USD,62,10/09/2021,811.1,USD,2806.41
01/03/2020 15:39,NVYXYWOK12342654,Stocks,DPPS25,PSWL40,27900.92,USD,1760,13/12/2020,15.85,USD,27.26
01/03/2020 18:00,FHOVKJYI17119520,Stocks,DPPS25,PSWL40,75171.95,USD,222,01/05/2022,337.99,USD,260.25
01/03/2020 16:00,OXSFCLAW15893490,Stocks,DPPS25,PSWL40,5984,USD,26,23/05/2020,223.32,USD,89.33
01/03/2020 23:18,QZIDYNBR52254777,Stocks,DPPS25,PSWL40,75188.05,USD,77,03/09/2022,966.66,USD,1633.66
01/03/2020 15:37,ZITGSJII82510342,Stocks,DPPS25,PSWL40,25629.15,USD,32,31/01/2021,791.48,USD,3205.49
